"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"CIDV014"	"V014 - Chloroform"	"V014 - Chloroform: Chemid in Region_5 = 114"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	53
"CONCV014"	"CONC:Chloroform-Air(ug/m3)"	"Concentration for V014"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"34.02"	""	""	"H,P"	""	"2325.6449901"	54
"DLCV014"	"CDTLM:Chloroform-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV014"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".7954"	"6.031"	"-333"	""	"N"	""	"-208714.5815"	55
"USECV014"	"CDQFG:Chloroform-Air"	"Data quality flag for CONCV014"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"143"	56
"CMTCV014"	"CDQI:Chloroform-Air"	"Data quality indicator for CONCV014"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	57
"DFLCV014"	"CDTIN:Chloroform-Air"	"100*Detection indicator for CONCV014"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"62800"	58
"UNTCV014"	"CUNIT:Chloroform-Air"	"Measurement units  for CONCV014"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	59
"AN1CV014"	"FCONC:Chloroform-Air(ug/m3)"	"Final concentration for V014"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"34.02"	""	""	"H,P"	""	"2324.2205251"	60
"AN2CV014"	"FCDTN:Chloroform-Air"	"100*Detection indicator for AN1CV014"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"64000"	61
"CIDV017"	"V017 - Styrene"	"V017 - Styrene: Chemid in Region_5 = 117"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	62
"CONCV017"	"CONC:Styrene-Air(ug/m3)"	"Concentration for V017"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"331.7"	""	""	"H,P"	""	"2421.1961"	63
"DLCV017"	"CDTLM:Styrene-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV017"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".612"	"2.943"	"-333"	""	"N"	""	"-265588.3871"	64
